Business Name,Location,Category,Annual Trade Volume (M USD),Main Trading Partner,Trade Type,Subcategory,Business Size,Established Year,Contact Info,Phone,Preferred Trade Route,Trade Growth Rate (%),Currency,Trade Frequency (per year),Recency of Last Trade (months),Trade Success Rate (%),Partner Rating,Price Fluctuation (%),Region,IndustrySector,BusinessID,LogisticsAccess,TargetMarket,MarketAccessScore,TraditionalIndustryScore,EgyptianAdvantageScore,Business Features
Cement Construction House,"Damietta, Egypt",Construction,136.38,India,Importer,Cement,Large,1990,info@cementconstruct.eg,20331376115,Via Damietta Port,-9.0,USD,365,0,98.0,4.8,5.46,Mediterranean Coast,Construction - Cement,25,5,Asia,3,3.0,3.6,"{'trade_volume': 136.38, 'growth_rate': -9.0, 'success_rate': 98.0, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Construction', 'egyptian_advantage': 3.6, 'location_region': 'Mediterranean Coast'}"
Herbal Pharmaceuticals House,"Qena, Egypt",Pharmaceuticals,6.63,Lebanon,Both,Herbal,Small,1982,info@herbalpharmaceu.eg,20190364518,Via Suez Port,-5.21,USD,34,2,82.46,4.2,9.63,Upper Egypt,Pharmaceuticals - Herbal,26,2,MENA,3,4.0,3.1,"{'trade_volume': 6.63, 'growth_rate': -5.21, 'success_rate': 82.46, 'trade_frequency': 34, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Upper Egypt'}"
El Resorts Tourism,"Ismailia, Egypt",Tourism,28.18,Oman,Importer,Resorts,Medium,1996,info@elresortstouris.eg,20226559313,Via Ismailia Port,3.77,USD,95,5,82.96,4.1,7.97,Suez Canal,Tourism - Resorts,27,5,MENA,5,3.0,4.2,"{'trade_volume': 28.18, 'growth_rate': 3.77, 'success_rate': 82.96, 'trade_frequency': 95, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Tourism', 'egyptian_advantage': 4.2, 'location_region': 'Suez Canal'}"
Silver Metals Group,"Suez, Egypt",Metals,54.84,Spain,Exporter,Silver,Medium,1987,info@silvermetalsgro.eg,20260904042,Via Suez Port,-10.0,USD,176,5,95.73,4.9,9.97,Suez Canal,Metals - Silver,28,5,Europe,4,4.0,4.3,"{'trade_volume': 54.84, 'growth_rate': -10.0, 'success_rate': 95.73, 'trade_frequency': 176, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Metals', 'egyptian_advantage': 4.3, 'location_region': 'Suez Canal'}"
Outdoor Furniture Industries,"Ismailia, Egypt",Furniture,15.71,Argentina,Exporter,Outdoor,Small,1992,info@outdoorfurnitur.eg,20396179522,Via Ismailia Port,8.3,USD,67,6,72.37,3.9,7.91,Suez Canal,Furniture - Outdoor,29,5,MENA,5,3.0,4.2,"{'trade_volume': 15.71, 'growth_rate': 8.3, 'success_rate': 72.37, 'trade_frequency': 67, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Furniture', 'egyptian_advantage': 4.2, 'location_region': 'Suez Canal'}"
Medicine Pharmaceuticals Egypt,"Sharm El Sheikh, Egypt",Pharmaceuticals,11.8,Ethiopia,Exporter,Medicine,Medium,1993,info@medicinepharmac.eg,20115766946,Via Alexandria Port,4.76,USD,50,6,90.52,4.7,10.76,Sinai,Pharmaceuticals - Medicine,30,3,Africa,3,4.0,3.4,"{'trade_volume': 11.8, 'growth_rate': 4.76, 'success_rate': 90.52, 'trade_frequency': 50, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.4, 'location_region': 'Sinai'}"
Premium Garments Textiles,"Fayoum, Egypt",Textiles,2.44,Tunisia,Importer,Garments,Small,2009,info@premiumgarments.eg,20231074032,Via Alexandria Port,-2.18,USD,31,2,68.62,3.7,14.5,Upper Egypt,Textiles - Garments,31,2,Africa,5,5.0,4.1,"{'trade_volume': 2.44, 'growth_rate': -2.18, 'success_rate': 68.62, 'trade_frequency': 31, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Textiles', 'egyptian_advantage': 4.1, 'location_region': 'Upper Egypt'}"
Communications Electronics Egypt,"Alexandria, Egypt",Electronics,95.82,Mexico,Exporter,Communications,Medium,2016,info@communicationse.eg,20292773410,Via Alexandria Port,-10.0,USD,304,3,89.33,4.4,5.52,Mediterranean Coast,Electronics - Communications,32,5,MENA,4,3.0,3.9000000000000004,"{'trade_volume': 95.82, 'growth_rate': -10.0, 'success_rate': 89.33, 'trade_frequency': 304, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Electronics', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Mediterranean Coast'}"
Cosmetics Chemicals Trading Egypt,"Ismailia, Egypt",Chemicals,63.24,Kuwait,Importer,Cosmetics,Medium,1999,info@cosmeticschemic.eg,20118959517,Via Ismailia Port,-8.79,USD,200,0,76.43,4.0,3.45,Suez Canal,Chemicals - Cosmetics,33,5,MENA,5,4.0,4.6,"{'trade_volume': 63.24, 'growth_rate': -8.79, 'success_rate': 76.43, 'trade_frequency': 200, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Chemicals', 'egyptian_advantage': 4.6, 'location_region': 'Suez Canal'}"
International Detergents Chemicals Egypt,"Damanhur, Egypt",Chemicals,12.66,Jordan,Exporter,Detergents,Small,1984,info@internationalde.eg,20331532261,Via Alexandria Port,-10.0,USD,53,4,89.34,4.2,8.54,Other Egypt,Chemicals - Detergents,34,2,MENA,3,4.0,3.1,"{'trade_volume': 12.66, 'growth_rate': -10.0, 'success_rate': 89.34, 'trade_frequency': 53, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Chemicals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Modern Detergents Chemicals,"Tanta, Egypt",Chemicals,246.96,Oman,Both,Detergents,Large,1998,info@moderndetergent.eg,20299797606,Via Port Said Port,-4.68,USD,365,1,57.73,2.6,1.78,Nile Delta,Chemicals - Detergents,35,3,MENA,3,4.0,3.4,"{'trade_volume': 246.96, 'growth_rate': -4.68, 'success_rate': 57.73, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Chemicals', 'egyptian_advantage': 3.4, 'location_region': 'Nile Delta'}"
Golden Vegetables Agriculture,"Damanhur, Egypt",Agriculture,377.44,Nigeria,Importer,Vegetables,Large,1990,info@goldenvegetable.eg,20342825239,Via Damietta Port,0.49,USD,365,3,88.86,4.7,1.01,Other Egypt,Agriculture - Vegetables,36,2,Africa,3,5.0,3.5,"{'trade_volume': 377.44, 'growth_rate': 0.49, 'success_rate': 88.86, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Agriculture', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
Pottery Handicrafts Exports,"Mansoura, Egypt",Handicrafts,3.99,Lebanon,Importer,Pottery,Small,2020,info@potteryhandicra.eg,20366511976,Via Safaga Port,-10.0,USD,27,3,79.78,4.0,10.78,Nile Delta,Handicrafts - Pottery,37,3,MENA,3,3.0,3.0,"{'trade_volume': 3.99, 'growth_rate': -10.0, 'success_rate': 79.78, 'trade_frequency': 27, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Handicrafts', 'egyptian_advantage': 3.0, 'location_region': 'Nile Delta'}"
Golden Herbal Pharmaceuticals,"Damietta, Egypt",Pharmaceuticals,14.32,Kenya,Exporter,Herbal,Small,2003,info@goldenherbalpha.eg,20261388369,Via Damietta Port,11.62,USD,61,0,80.78,4.5,13.03,Mediterranean Coast,Pharmaceuticals - Herbal,38,5,Africa,3,4.0,4.0,"{'trade_volume': 14.32, 'growth_rate': 11.62, 'success_rate': 80.78, 'trade_frequency': 61, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Pharmaceuticals', 'egyptian_advantage': 4.0, 'location_region': 'Mediterranean Coast'}"
Egypt Medicine Pharmaceuticals Company,"Kafr El Sheikh, Egypt",Pharmaceuticals,292.77,Ethiopia,Both,Medicine,Large,2002,info@egyptmedicineph.eg,20171817618,Via Safaga Port,-6.98,USD,365,5,62.99,3.1,6.44,Other Egypt,Pharmaceuticals - Medicine,39,2,Africa,3,4.0,3.1,"{'trade_volume': 292.77, 'growth_rate': -6.98, 'success_rate': 62.99, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Greater Cairo Dates Agriculture,"6th of October, Egypt",Agriculture,20.19,Mexico,Importer,Dates,Small,1995,info@greatercairodat.eg,20233655133,Via Damietta Port,-10.0,USD,78,1,82.29,4.1,6.21,Other Egypt,Agriculture - Dates,40,2,MENA,3,5.0,3.5,"{'trade_volume': 20.19, 'growth_rate': -10.0, 'success_rate': 82.29, 'trade_frequency': 78, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Agriculture', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
Greater Cairo Spices Food Processing,"6th of October, Egypt",Food Processing,1.23,Indonesia,Importer,Spices,Small,1994,info@greatercairospi.eg,20147827655,Via Port Said Port,-9.32,USD,25,5,79.58,3.6,2.12,Other Egypt,Food Processing - Spices,41,2,Asia,3,3.0,2.7,"{'trade_volume': 1.23, 'growth_rate': -9.32, 'success_rate': 79.58, 'trade_frequency': 25, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Food Processing', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Delta Computers Electronics,"6th of October, Egypt",Electronics,67.54,Kuwait,Exporter,Computers,Medium,2018,info@deltacomputerse.eg,20399281602,Via Port Said Port,4.41,USD,217,2,64.35,3.1,13.29,Other Egypt,Electronics - Computers,42,2,MENA,3,3.0,2.7,"{'trade_volume': 67.54, 'growth_rate': 4.41, 'success_rate': 64.35, 'trade_frequency': 217, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Electronics', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Canned Foods Food Processing of Egypt,"Giza, Egypt",Food Processing,19.06,Bahrain,Exporter,Canned Foods,Medium,1985,info@cannedfoodsfood.eg,20220525741,Via Port Said Port,-8.9,USD,68,0,69.01,3.8,6.56,Greater Cairo,Food Processing - Canned Foods,43,4,MENA,4,3.0,3.6000000000000005,"{'trade_volume': 19.06, 'growth_rate': -8.9, 'success_rate': 69.01, 'trade_frequency': 68, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Food Processing', 'egyptian_advantage': 3.6000000000000005, 'location_region': 'Greater Cairo'}"
Ancient Detergents Chemicals,"Suez, Egypt",Chemicals,47.07,India,Both,Detergents,Medium,1998,info@ancientdetergen.eg,20312259615,Via Damietta Port,-2.95,USD,166,4,87.23,4.0,1.9,Suez Canal,Chemicals - Detergents,44,5,Asia,5,4.0,4.6,"{'trade_volume': 47.07, 'growth_rate': -2.95, 'success_rate': 87.23, 'trade_frequency': 166, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Chemicals', 'egyptian_advantage': 4.6, 'location_region': 'Suez Canal'}"
Medicine Pharmaceuticals Trading Egypt,"Port Said, Egypt",Pharmaceuticals,18.59,Italy,Importer,Medicine,Small,1999,info@medicinepharmac.eg,20323697622,Via Port Said Port,2.99,USD,72,2,83.19,4.2,4.64,Mediterranean Coast,Pharmaceuticals - Medicine,45,5,Europe,5,4.0,4.6,"{'trade_volume': 18.59, 'growth_rate': 2.99, 'success_rate': 83.19, 'trade_frequency': 72, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Pharmaceuticals', 'egyptian_advantage': 4.6, 'location_region': 'Mediterranean Coast'}"
Premium Bricks Construction,"Sohag, Egypt",Construction,14.02,Nigeria,Importer,Bricks,Medium,1985,info@premiumbricksco.eg,20294934443,Via Damietta Port,-9.41,USD,58,4,71.26,3.6,3.71,Upper Egypt,Construction - Bricks,46,2,Africa,5,3.0,3.3000000000000003,"{'trade_volume': 14.02, 'growth_rate': -9.41, 'success_rate': 71.26, 'trade_frequency': 58, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Construction', 'egyptian_advantage': 3.3000000000000003, 'location_region': 'Upper Egypt'}"
Ancient Copper Metals,"Luxor, Egypt",Metals,8.87,Singapore,Exporter,Copper,Small,2011,info@ancientcopperme.eg,20289971440,Via Alexandria Port,-0.7,USD,44,4,67.75,3.5,9.22,Upper Egypt,Metals - Copper,47,2,Asia,2,4.0,2.8000000000000003,"{'trade_volume': 8.87, 'growth_rate': -0.7, 'success_rate': 67.75, 'trade_frequency': 44, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Metals', 'egyptian_advantage': 2.8000000000000003, 'location_region': 'Upper Egypt'}"
Upper Egypt Fabrics Textiles,"Assiut, Egypt",Textiles,13.79,Bahrain,Both,Fabrics,Small,2003,info@upperegyptfabri.eg,20135818860,Via Suez Port,-6.26,USD,42,3,78.46,3.6,4.7,Upper Egypt,Textiles - Fabrics,48,2,MENA,3,5.0,3.5,"{'trade_volume': 13.79, 'growth_rate': -6.26, 'success_rate': 78.46, 'trade_frequency': 42, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Textiles', 'egyptian_advantage': 3.5, 'location_region': 'Upper Egypt'}"
Fruits Agriculture Trading Egypt,"Hurghada, Egypt",Agriculture,15.47,Saudi Arabia,Exporter,Fruits,Small,2009,info@fruitsagricultu.eg,20328896198,Via Suez Port,-10.0,USD,55,5,64.61,3.8,12.45,Red Sea,Agriculture - Fruits,49,4,MENA,5,5.0,4.7,"{'trade_volume': 15.47, 'growth_rate': -10.0, 'success_rate': 64.61, 'trade_frequency': 55, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Agriculture', 'egyptian_advantage': 4.7, 'location_region': 'Red Sea'}"
Herbal Pharmaceuticals Egypt,"Aswan, Egypt",Pharmaceuticals,13.2,Saudi Arabia,Importer,Herbal,Small,1995,info@herbalpharmaceu.eg,20137501992,Via Alexandria Port,-5.4,USD,56,4,70.65,4.2,3.15,Upper Egypt,Pharmaceuticals - Herbal,50,2,MENA,3,4.0,3.1,"{'trade_volume': 13.2, 'growth_rate': -5.4, 'success_rate': 70.65, 'trade_frequency': 56, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Upper Egypt'}"
