BusinessID,Business Name,Annual Trade Volume (M USD),Trade Growth Rate (%),Trade Success Rate (%),Trade Frequency (per year),Business Size,Trade Type,Category,Trade Type Encoded,Business Size Encoded,Category Encoded
86,Alexandria Gold Metals,107.4,-10.0,98.0,334,Large,Importer,Metals,0,2,3
87,Golden Beverages Food Processing,242.46,-0.79,84.4,365,Large,Exporter,Food Processing,1,2,7
88,Royal Canned Foods Food Processing,64.11,-10.0,73.45,204,Medium,Exporter,Food Processing,1,1,7
89,Brassware Handicrafts Exports,4.71,6.82,69.79,31,Small,Exporter,Handicrafts,1,0,10
90,Premium Rugs Textiles,19.45,7.25,86.43,62,Small,Both,Textiles,2,0,1
91,Components Electronics Exports,59.22,12.74,75.07,198,Medium,Both,Electronics,2,1,8
92,Nile Beverages Food Processing,94.95,-10.0,72.61,292,Medium,Exporter,Food Processing,1,1,7
93,Modern Office Furniture,13.46,-10.0,77.93,49,Small,Exporter,Furniture,1,0,4
94,Sinai Garments Textiles,58.44,-10.0,75.44,184,Medium,Importer,Textiles,0,1,1
95,Suez Medicine Pharmaceuticals,15.39,-9.0,61.95,59,Small,Importer,Pharmaceuticals,0,0,6
96,Nile Medical Supplies Pharmaceuticals,43.85,-10.0,63.87,139,Medium,Both,Pharmaceuticals,2,1,6
97,Ancient Components Electronics,7.77,-10.0,69.74,42,Small,Importer,Electronics,0,0,8
98,Spices Food Processing Trading Egypt,14.2,5.97,74.18,45,Medium,Importer,Food Processing,0,1,7
99,International Dairy Food Processing Egypt,5.15,-10.0,93.62,29,Small,Importer,Food Processing,0,0,7
100,Ancient Fertilizers Chemicals,45.37,-10.0,80.59,142,Medium,Exporter,Chemicals,1,1,5
101,Delta Confectionery Food Processing,9.67,-3.76,87.77,39,Small,Importer,Food Processing,0,0,7
102,Ancient Fruits Agriculture,657.23,10.69,92.84,365,Large,Both,Agriculture,2,2,0
103,Grains Agriculture Egypt,496.67,-6.6,78.47,365,Large,Importer,Agriculture,0,2,0
104,Egypt Resorts Tourism Company,2.27,-5.55,74.31,27,Small,Exporter,Tourism,1,0,2
105,Greater Cairo Metal Furniture,83.77,4.91,79.74,256,Medium,Both,Furniture,2,1,4
106,Egypt Vitamins Pharmaceuticals Company,9.31,5.46,79.88,36,Small,Importer,Pharmaceuticals,0,0,6
107,Cairo Office Furniture,91.91,13.12,96.02,292,Medium,Importer,Furniture,0,1,4
108,International Cosmetics Chemicals Egypt,24.23,-1.98,85.17,100,Medium,Exporter,Chemicals,1,1,5
109,Pharaoh Jewelry Handicrafts,13.46,-4.3,63.02,48,Small,Both,Handicrafts,2,0,10
110,Components Electronics of Egypt,50.51,9.34,85.92,167,Medium,Exporter,Electronics,1,1,8
111,Nile Delta Office Furniture,4.53,-6.09,58.29,22,Small,Importer,Furniture,0,0,4
112,Canned Foods Food Processing Group,7.69,-10.0,65.46,29,Small,Both,Food Processing,2,0,7
113,Premium Copper Metals,363.95,15.01,98.0,365,Large,Both,Metals,2,2,3
114,Spices Food Processing of Egypt,79.12,-4.93,75.27,249,Medium,Both,Food Processing,2,1,7
115,Egyptian Brassware Handicrafts,510.8,3.27,93.43,365,Large,Both,Handicrafts,2,2,10
116,Suez Canal Medicine Pharmaceuticals,466.71,-4.15,92.22,365,Large,Importer,Pharmaceuticals,0,2,6
117,Cairo Beverages Food Processing,5.93,-0.42,88.67,40,Small,Importer,Food Processing,0,0,7
118,United Detergents Chemicals,12.52,4.11,74.77,49,Small,Exporter,Chemicals,1,0,5
119,Egypt Office Furniture Company,8.97,-8.11,95.04,36,Small,Importer,Furniture,0,0,4
120,Egypt Vegetables Agriculture Company,9.98,-4.52,62.61,43,Small,Exporter,Agriculture,1,0,0
121,Ancient Leather Handicrafts,11.11,-6.8,69.9,33,Small,Exporter,Handicrafts,1,0,10
122,Communications Electronics Exports,17.66,-6.62,79.17,64,Small,Both,Electronics,2,0,8
123,Dates Agriculture Exports,591.5,-3.38,89.02,365,Large,Both,Agriculture,2,2,0
124,International Office Furniture Egypt,28.98,-10.0,85.23,92,Medium,Importer,Furniture,0,1,4
125,Greater Cairo Plastics Chemicals,55.75,6.82,83.2,179,Medium,Importer,Chemicals,0,1,5
126,Nile Spices Food Processing,21.71,2.56,79.63,88,Medium,Exporter,Food Processing,1,1,7
127,Upper Egypt Wooden Furniture,63.67,11.87,86.41,202,Medium,Both,Furniture,2,1,4
128,Nile Fertilizers Chemicals,54.18,-3.17,85.16,163,Medium,Exporter,Chemicals,1,1,5
129,Premium Vegetables Agriculture,530.64,-1.78,74.72,365,Large,Exporter,Agriculture,1,2,0
130,Egyptian Communications Electronics,271.49,-10.0,98.0,365,Large,Importer,Electronics,0,2,8
131,Pharaoh Aluminum Metals,4.73,-3.24,59.35,26,Small,Exporter,Metals,1,0,3
132,El Glass Construction,37.79,-3.23,83.09,131,Medium,Both,Construction,2,1,9
133,Zagazig Cement Construction,13.97,-10.0,80.37,56,Small,Exporter,Construction,1,0,9
134,Pharaoh Medical Supplies Pharmaceuticals,78.18,8.2,98.0,240,Medium,Exporter,Pharmaceuticals,1,1,6
135,Cotton Textiles Group,16.09,11.82,91.36,59,Small,Importer,Textiles,0,0,1
136,Golden Cement Construction,7.21,-0.03,98.0,40,Small,Both,Construction,2,0,9
137,Premium Medicine Pharmaceuticals,12.52,-10.0,87.79,60,Medium,Both,Pharmaceuticals,2,1,6
138,Paints Chemicals of Egypt,10.78,2.23,82.28,42,Small,Exporter,Chemicals,1,0,5
139,Plastics Chemicals Egypt,18.8,-10.0,70.54,73,Small,Importer,Chemicals,0,0,5
140,Modern Herbal Pharmaceuticals,4.06,-4.55,92.15,22,Small,Exporter,Pharmaceuticals,1,0,6
141,Cairo Dairy Food Processing,12.36,5.43,95.85,45,Small,Importer,Food Processing,0,0,7
142,6th of October Herbal Pharmaceuticals,484.92,-2.54,98.0,365,Large,Both,Pharmaceuticals,2,2,6
143,El Ceramics Construction,92.52,-9.76,68.06,290,Medium,Importer,Construction,0,1,9
144,Nile Transportation Tourism,9.37,-7.43,76.06,40,Small,Exporter,Tourism,1,0,2
145,Damanhur Components Electronics,10.14,-9.7,57.86,55,Small,Exporter,Electronics,1,0,8
146,Fruits Agriculture Exports,17.47,-0.78,72.18,68,Small,Both,Agriculture,2,0,0
147,Delta Aluminum Metals,62.77,-0.64,88.02,201,Large,Exporter,Metals,1,2,3
148,Delta Cement Construction,37.04,-7.47,75.71,122,Medium,Both,Construction,2,1,9
149,Craft Tourism House,53.79,-4.15,79.14,170,Medium,Importer,Tourism,0,1,2
150,Golden Metal Furniture,90.8,17.08,93.44,280,Medium,Importer,Furniture,0,1,4
151,Alexandria Spices Food Processing,6.11,-4.56,69.81,36,Small,Exporter,Food Processing,1,0,7
152,Plastics Chemicals House,11.95,-1.18,87.76,41,Small,Both,Chemicals,2,0,5
153,Upper Egypt Paints Chemicals,13.05,4.49,97.79,44,Small,Importer,Chemicals,0,0,5
154,Royal Detergents Chemicals,10.8,-7.18,73.27,50,Small,Importer,Chemicals,0,0,5
155,Hotels Tourism Group,545.37,10.37,95.14,365,Large,Importer,Tourism,0,2,2
156,Upper Egypt Craft Tourism,1.98,-10.0,68.04,14,Small,Both,Tourism,2,0,2
157,Ceramics Construction House,5.51,0.75,71.0,30,Small,Both,Construction,2,0,9
158,Royal Papyrus Handicrafts,181.27,3.94,98.0,365,Large,Exporter,Handicrafts,1,2,10
159,Medical Supplies Pharmaceuticals Exports,1.63,3.2,57.52,20,Small,Exporter,Pharmaceuticals,1,0,6
160,Marble Construction House,6.08,7.18,76.26,31,Small,Importer,Construction,0,0,9
161,Greater Cairo Brassware Handicrafts,64.6,-5.44,80.51,209,Medium,Exporter,Handicrafts,1,1,10
162,Sohag Cosmetics Chemicals,4.04,1.3,95.34,25,Small,Both,Chemicals,2,0,5
163,Delta Craft Tourism,1.75,14.33,65.32,25,Small,Exporter,Tourism,1,0,2
164,Craft Tourism Egypt,5.84,2.41,80.09,31,Small,Importer,Tourism,0,0,2
165,Alexandria Jewelry Handicrafts,11.54,-6.14,84.33,48,Small,Both,Handicrafts,2,0,10
166,Pharaoh Marble Construction,326.23,-9.05,87.63,365,Large,Exporter,Construction,1,2,9
167,Modern Papyrus Handicrafts,44.16,-10.0,77.55,153,Medium,Both,Handicrafts,2,1,10
168,Cairo Resorts Tourism,1.83,-0.89,80.82,12,Small,Importer,Tourism,0,0,2
169,Greater Cairo Flowers Agriculture,11.03,-9.45,64.47,42,Small,Exporter,Agriculture,1,0,0
170,United Components Electronics,2.82,-2.45,70.36,3,Small,Exporter,Electronics,1,0,8
171,United Paints Chemicals,6.48,14.42,84.4,34,Small,Both,Chemicals,2,0,5
172,El Arish Gold Metals,60.91,-3.84,79.87,194,Medium,Exporter,Metals,1,1,3
173,Appliances Electronics Industries,75.86,10.63,63.18,250,Medium,Importer,Electronics,0,1,8
174,Outdoor Furniture Exports,19.25,-10.0,57.39,66,Small,Both,Furniture,2,0,4
175,Fayoum Components Electronics,11.97,13.62,78.41,49,Small,Exporter,Electronics,1,0,8
176,Royal Confectionery Food Processing,268.01,9.72,91.54,365,Large,Exporter,Food Processing,1,2,7
177,Computers Electronics of Egypt,293.85,3.19,73.36,365,Large,Both,Electronics,2,2,8
178,Pharaoh Computers Electronics,24.53,5.22,73.63,82,Medium,Importer,Electronics,0,1,8
179,Red Sea Detergents Chemicals,21.99,3.91,76.23,84,Medium,Both,Chemicals,2,1,5
180,Cairo Fabrics Textiles,575.04,-10.0,98.0,365,Large,Importer,Textiles,0,2,1
181,Cairo Papyrus Handicrafts,322.82,0.72,84.49,365,Large,Both,Handicrafts,2,2,10
182,Rugs Textiles Trading Egypt,4.35,7.55,60.02,24,Small,Both,Textiles,2,0,1
183,Garments Textiles of Egypt,449.4,7.96,91.71,365,Large,Both,Textiles,2,2,1
184,Egypt Beverages Food Processing Company,383.88,5.53,90.99,365,Large,Both,Food Processing,2,2,7
185,Resorts Tourism Trading Egypt,9.19,4.7,60.71,34,Small,Exporter,Tourism,1,0,2
186,Nile Garments Textiles,9.49,-9.11,93.3,44,Small,Exporter,Textiles,1,0,1
187,Red Sea Components Electronics,389.93,-10.0,77.3,365,Large,Both,Electronics,2,2,8
188,Carpets Textiles Group,5.88,-10.0,89.85,40,Small,Both,Textiles,2,0,1
189,Canned Foods Food Processing Trading Egypt,86.68,-7.13,83.7,274,Medium,Both,Food Processing,2,1,7
190,Copper Metals House,11.78,-3.04,84.15,43,Small,Exporter,Metals,1,0,3
191,Brassware Handicrafts of Egypt,73.18,13.86,77.47,235,Medium,Both,Handicrafts,2,1,10
192,Nile Dates Agriculture,12.0,-10.0,84.83,46,Small,Importer,Agriculture,0,0,0
193,Cairo Appliances Electronics,579.51,-6.89,82.2,365,Large,Importer,Electronics,0,2,8
194,Mediterranean Coast Cotton Textiles,13.15,-10.0,96.0,56,Small,Both,Textiles,2,0,1
195,Sinai Souvenirs Tourism,2.49,5.48,72.66,18,Small,Exporter,Tourism,1,0,2
196,Upper Egypt Ceramics Construction,9.48,6.42,76.7,34,Small,Both,Construction,2,0,9
197,Pharaoh Beverages Food Processing,45.63,-4.03,68.73,152,Medium,Both,Food Processing,2,1,7
198,Rugs Textiles of Egypt,374.45,-9.83,82.99,365,Large,Importer,Textiles,0,2,1
199,Mansoura Fruits Agriculture,1.98,-2.46,83.35,3,Small,Both,Agriculture,2,0,0
200,Cairo Fertilizers Chemicals,109.09,15.15,85.29,340,Large,Importer,Chemicals,0,2,5
